sim_number	current_loop	loop_tm_correlations
4	5	0.6608531593654333
5	5	0.6935381591105721
6	5	0.6759135236386666
7	5	0.691185013550231
8	5	0.6473964814232853
9	5	0.68188158681723
10	5	0.6761321634549974
11	5	0.6848777133176938
12	5	0.6784175620495074
13	5	0.6706482176365259
14	5	0.6674379808365076
15	5	0.6942911290029828
16	5	0.6761734175561568
17	5	0.6834126730160455
18	5	0.7135966848554751
19	5	0.6521869167044841
20	5	0.6788817088908707
21	5	0.6577794694964646
22	5	0.6716216323546238
23	5	0.6955559068751377
24	5	0.6539413286589406
25	5	0.660719318653707
26	5	0.6752749854026145
27	5	0.6671690155928784
28	5	0.6897150229342529
29	5	0.678531101681243
30	5	0.6935178155942212
31	5	0.6724918677415459
32	5	0.6807966983869462
33	5	0.6645191437389666
34	5	0.6564657284117594
35	5	0.6715526824071275
36	5	0.673874201718259
37	5	0.6716319165449194
38	5	0.6778591192453145
39	5	0.6711108602555729
40	5	0.659442313366887
41	5	0.6734565228404303
42	5	0.683632683109753
43	5	0.6471894018137804
44	5	0.6925486286953454
45	5	0.6919699863181394
46	5	0.6632124151292254
47	5	0.6672660720645744
48	5	0.6613389219673301
49	5	0.6743018036887023
0	6	-0.4076562074103564
1	6	-0.44072718357963214
2	6	-0.5031038146744806
3	6	-0.4633446109677823
4	6	-0.48243162194324524
5	6	-0.5613564176879553
6	6	-0.5290903368592123
7	6	-0.5100239283637031
8	6	-0.44972958135365354
9	6	-0.43389718777659364
10	6	-0.4373001229236647
11	6	-0.5151404109903784
12	6	-0.4670732269796866
13	6	-0.5327338028566244
14	6	-0.5116986705184395
15	6	-0.49763756787686
16	6	-0.47817150650742163
17	6	-0.45123485854512224
18	6	-0.5013260247650323
19	6	-0.48915995455986877
20	6	-0.47829256460004804
21	6	-0.5290163160504955
22	6	-0.4436058226638551
23	6	-0.4467850382579992
24	6	-0.47157187197587436
25	6	-0.5040187518319088
26	6	-0.45048452063438627
27	6	-0.4196533488453465
28	6	-0.5298033045840485
29	6	-0.4854310634338848
30	6	-0.5045327557960475
31	6	-0.5096977975980421
32	6	-0.5310797253190394
33	6	-0.48937464834607497
34	6	-0.45183270511539725
35	6	-0.46180089080606856
36	6	-0.49276207892669704
37	6	-0.543350796988827
38	6	-0.5430154174578917
39	6	-0.4568293845793627
40	6	-0.4878620197608227
41	6	-0.5057562171673406
42	6	-0.46619397916019745
43	6	-0.5112901043346055
44	6	-0.45671529288059165
45	6	-0.5294080795680538
46	6	-0.4715645266631194
47	6	-0.5001376894806366
48	6	-0.5031234348432894
49	6	-0.4597477241058562
