loop_tm_correlations	sim_number	fw_tm_correlations	fw_start_points	fw_lengths	fw_regions
0.7474962468052755	38	0.7990934339919527	[6, 36, 80, 107, 162, 188]	[5, 13, 7, 7, 8, 12]	[[6, 10], [36, 48], [80, 86], [107, 113], [162, 169], [188, 199]]
0.7673893843966912	39	0.7823635635194902	[6, 36, 80, 107, 162, 188]	[5, 13, 7, 7, 8, 12]	[[6, 10], [36, 48], [80, 86], [107, 113], [162, 169], [188, 199]]
0.7575873783880762	40	0.7822781214430727	[6, 36, 80, 107, 162, 188]	[5, 13, 7, 7, 8, 12]	[[6, 10], [36, 48], [80, 86], [107, 113], [162, 169], [188, 199]]
0.7600676489548653	41	0.7930132105490089	[6, 36, 80, 107, 162, 188]	[5, 13, 7, 7, 8, 12]	[[6, 10], [36, 48], [80, 86], [107, 113], [162, 169], [188, 199]]
0.7601028796700436	42	0.8029483363320199	[6, 36, 80, 107, 162, 188]	[5, 13, 7, 7, 8, 12]	[[6, 10], [36, 48], [80, 86], [107, 113], [162, 169], [188, 199]]
0.7814293337136043	43	0.7818561958503167	[6, 36, 80, 107, 162, 188]	[5, 13, 7, 7, 8, 12]	[[6, 10], [36, 48], [80, 86], [107, 113], [162, 169], [188, 199]]
0.7784738349338792	44	0.7760361381504414	[6, 36, 80, 107, 162, 188]	[5, 13, 7, 7, 8, 12]	[[6, 10], [36, 48], [80, 86], [107, 113], [162, 169], [188, 199]]
0.7565260313965737	45	0.7559858564272672	[6, 36, 80, 107, 162, 188]	[5, 13, 7, 7, 8, 12]	[[6, 10], [36, 48], [80, 86], [107, 113], [162, 169], [188, 199]]
0.7519140465320328	46	0.7774235854017478	[6, 36, 80, 107, 162, 188]	[5, 13, 7, 7, 8, 12]	[[6, 10], [36, 48], [80, 86], [107, 113], [162, 169], [188, 199]]
0.7538057299059931	47	0.7702740492412158	[6, 36, 80, 107, 162, 188]	[5, 13, 7, 7, 8, 12]	[[6, 10], [36, 48], [80, 86], [107, 113], [162, 169], [188, 199]]
0.7799200710325	48	0.8073121063182541	[6, 36, 80, 107, 162, 188]	[5, 13, 7, 7, 8, 12]	[[6, 10], [36, 48], [80, 86], [107, 113], [162, 169], [188, 199]]
0.7776238743876125	49	0.8145650324956011	[6, 36, 80, 107, 162, 188]	[5, 13, 7, 7, 8, 12]	[[6, 10], [36, 48], [80, 86], [107, 113], [162, 169], [188, 199]]
